# Version 1.00
#
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc6_S21,im:Trc6_S21,re:Trc7_S22,im:Trc7_S22,re:Mem8[Trc1]_S11,im:Mem8[Trc1]_S11,
1.280500500500501E+007,8.670055099346435E-001,-3.023672374338333E-002,1.161332008418834E-001,-6.184645117670417E-002,1.156669612441062E-001,-6.195054514040482E-002,8.670398140452312E-001,-2.928329317206286E-002,8.670146535096721E-001,-3.029110461514923E-002,
1.330520520520521E+007,8.670055367041465E-001,-3.136052590730140E-002,1.149289495476737E-001,-6.406071180717503E-002,1.144517493715128E-001,-6.416221797193888E-002,8.670730053835167E-001,-3.041482249944030E-002,8.670100708296753E-001,-3.140870077173337E-002,
1.380540540540541E+007,8.670443528274437E-001,-3.255425507064283E-002,1.136753874187244E-001,-6.625289173394568E-002,1.131903268807492E-001,-6.633795218012650E-002,8.671412313386931E-001,-3.155349668169689E-002,8.670536924754505E-001,-3.260636665196984E-002,
1.430560560560561E+007,8.670679494645384E-001,-3.372208202363888E-002,1.123964930906885E-001,-6.840651999382812E-002,1.119029315086761E-001,-6.847708463582219E-002,8.671573690456158E-001,-3.271505318185207E-002,8.670654735810182E-001,-3.376871582639288E-002,
1.480580580580581E+007,8.670969209619839E-001,-3.488055367922770E-002,1.110926950840902E-001,-7.055921971183389E-002,1.105949713817160E-001,-7.061337196692494E-002,8.672104196970388E-001,-3.386391376824544E-002,8.670858720295820E-001,-3.492901327278045E-002,
1.530600600600601E+007,8.671585405168357E-001,-3.604741002367976E-002,1.097389011827626E-001,-7.269806756447428E-002,1.092346547097485E-001,-7.274632684175034E-002,8.672267866860067E-001,-3.499178970747516E-002,8.671409497941066E-001,-3.608304113622559E-002,
1.580620620620621E+007,8.672360824747031E-001,-3.723684869868441E-002,1.083296291081628E-001,-7.481958609453572E-002,1.078238704868020E-001,-7.486190779457200E-002,8.672694617367360E-001,-3.611262579321473E-002,8.672254010051290E-001,-3.726214869744716E-002,
1.630640640640641E+007,8.672868579294668E-001,-3.840796329728455E-002,1.068663143692291E-001,-7.691738752764292E-002,1.063570508436619E-001,-7.693996114700880E-002,8.673352847165483E-001,-3.730010007696726E-002,8.672778865963980E-001,-3.843120364810991E-002,
1.680660660660661E+007,8.673290458901330E-001,-3.957311716792481E-002,1.053565606164245E-001,-7.897311653046275E-002,1.048444330450202E-001,-7.898412938426304E-002,8.673566480442849E-001,-3.848989833184801E-002,8.673246641849679E-001,-3.959094268648408E-002,
1.730680680680681E+007,8.674120326326102E-001,-4.074263659633860E-002,1.038156757821019E-001,-8.100392006727344E-002,1.032976545002120E-001,-8.100223254947084E-002,8.673997125427505E-001,-3.964663213813940E-002,8.674024935020790E-001,-4.075236644263927E-002,
1.780700700700701E+007,8.674612688663208E-001,-4.191715616556720E-002,1.022231097039297E-001,-8.300107651382314E-002,1.017053140934072E-001,-8.299185924819287E-002,8.673943022749837E-001,-4.075928133536992E-002,8.674567919376240E-001,-4.192662535221102E-002,
1.830720720720721E+007,8.675015922440896E-001,-4.311744852575911E-002,1.005906302250112E-001,-8.497491879157050E-002,1.000648707224842E-001,-8.493977254883750E-002,8.674185057426449E-001,-4.191932920399225E-002,8.675020810036187E-001,-4.312400186957500E-002,
1.880740740740741E+007,8.675480190647636E-001,-4.426606050082994E-002,9.891688523244432E-002,-8.689261529733207E-002,9.839051904955537E-002,-8.685418733901920E-002,8.674290503049005E-001,-4.306993932703536E-002,8.675570884703981E-001,-4.427440481290503E-002,
1.930760760760761E+007,8.675761585531514E-001,-4.547032194794539E-002,9.720290850963807E-002,-8.878652491383303E-002,9.667591962769775E-002,-8.872982168066304E-002,8.674432362094858E-001,-4.425749894366301E-002,8.675793310003571E-001,-4.547585385777991E-002,
1.980780780780781E+007,8.676070309659953E-001,-4.663797339539143E-002,9.546275462582698E-002,-9.063958739749946E-002,9.493279234536314E-002,-9.057228326316653E-002,8.674654638776759E-001,-4.542071213513821E-002,8.676160245794649E-001,-4.664471942388597E-002,
2.030800800800801E+007,8.674366745108610E-001,-4.717036026629196E-002,9.362334967297356E-002,-9.241325259244862E-002,9.326822104537454E-002,-9.230732037055264E-002,8.672309089601290E-001,-4.595187723292037E-002,8.674465163246601E-001,-4.718513137685890E-002,
2.080820820820821E+007,8.673827515994660E-001,-4.834234133950154E-002,9.180458663024646E-002,-9.418510293323217E-002,9.145245278346442E-002,-9.408750200472965E-002,8.672041464837150E-001,-4.691194915952011E-002,8.673971221982193E-001,-4.836413210912877E-002,
2.130840840840841E+007,8.674016253757253E-001,-4.947625867103282E-002,8.994511643523458E-002,-9.593112528706412E-002,8.961172659105197E-002,-9.582041176114289E-002,8.671128161553690E-001,-4.819400463180550E-002,8.674167575888202E-001,-4.950226530377842E-002,
2.180860860860861E+007,8.673443887870491E-001,-5.065237308953499E-002,8.805204966081509E-002,-9.763674643552966E-002,8.772944169828541E-002,-9.751261060421648E-002,8.671420770653420E-001,-4.938776042190219E-002,8.673603535571952E-001,-5.068792271807979E-002,
2.230880880880881E+007,8.673840573778431E-001,-5.178933792595107E-002,8.614507190971228E-002,-9.928928902088627E-002,8.581435640780841E-002,-9.915643831020704E-002,8.671019467314358E-001,-5.057494125703290E-002,8.673992926842606E-001,-5.182715803839976E-002,
2.280900900900901E+007,8.673260583526162E-001,-5.296456537548801E-002,8.420721651365332E-002,-1.008968286630076E-001,8.388149732375008E-002,-1.007676394120766E-001,8.671219046961359E-001,-5.180008263883609E-002,8.673350822786937E-001,-5.301248381540798E-002,
2.330920920920921E+007,8.672698576316986E-001,-5.416602933341449E-002,8.224526784459575E-002,-1.024691478061499E-001,8.192439513838162E-002,-1.023392291834696E-001,8.670460868488693E-001,-5.297522010837867E-002,8.672730367350690E-001,-5.421511900351624E-002,
2.380940940940941E+007,8.672149027657679E-001,-5.532531440620316E-002,8.027340644703172E-002,-1.040033569400056E-001,7.994855255284945E-002,-1.038662022081528E-001,8.669607075522839E-001,-5.412526870632450E-002,8.672105517995934E-001,-5.537786234069280E-002,
2.430960960960961E+007,8.671500449337867E-001,-5.652152596250888E-002,7.826098685625862E-002,-1.055068701219558E-001,7.794599045978534E-002,-1.053735001553138E-001,8.668756399915966E-001,-5.532844680994039E-002,8.671397747705537E-001,-5.656397997577652E-002,
2.480980980980981E+007,8.671082469928215E-001,-5.768581154322525E-002,7.622350221114849E-002,-1.069937834375653E-001,7.590275316554931E-002,-1.068468456500484E-001,8.667878812623602E-001,-5.650818364052976E-002,8.670955414127678E-001,-5.773128261667410E-002,
2.531001001001001E+007,8.670319123398438E-001,-5.882494638572693E-002,7.414835543052936E-002,-1.084224185727431E-001,7.382733180419317E-002,-1.082733536272108E-001,8.667149443839060E-001,-5.764884293682845E-002,8.670219035974928E-001,-5.886729472064186E-002,
2.581021021021021E+007,8.669364820496417E-001,-5.998762605754751E-002,7.203576149010670E-002,-1.097998993404412E-001,7.171559852157837E-002,-1.096456541648421E-001,8.665986005102706E-001,-5.873372823720394E-002,8.669335881073420E-001,-6.003077967542213E-002,
2.631041041041041E+007,8.668130680961065E-001,-6.127881645524277E-002,6.988996316400978E-002,-1.111342258359859E-001,6.959179629996098E-002,-1.109662238972698E-001,8.664917658310876E-001,-5.986027593299587E-002,8.668001311364234E-001,-6.133328156575600E-002,
2.681061061061061E+007,8.666899195604627E-001,-6.231808583221996E-002,6.776504639772506E-002,-1.124130449389735E-001,6.744938643457056E-002,-1.122517425104648E-001,8.663832055411587E-001,-6.102850824176639E-002,8.666699951804147E-001,-6.236428735463003E-002,
